Mã chứng khoán,Sàn giao dịch,Tên công ty,Ngành nghề
A32,UPCOM,Công ty Cổ phần 32,Hàng cá nhân
AAA,HSX,Công ty Cổ phần Nhựa An Phát Xanh,Hóa chất
AAH,UPCOM,Công ty Cổ phần Hợp Nhất,Khai khoáng
AAM,HSX,Công ty Cổ Phần Thủy Sản MeKong,Sản xuất thực phẩm
AAS,UPCOM,Công ty Cổ phần Chứng khoán SmartInvest,Dịch vụ tài chính
AAT,HSX,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng cá nhân
AAV,HNX,Công ty Cổ phần AAV Group,Bất động sản
ABB,UPCOM,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng
ABC,UPCOM,Công ty Cổ phần Truyền thông VMG,Viễn thông di động
ABI,UPCOM,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,Bảo hiểm phi nhân thọ
ABR,HSX,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Tư vấn & Hỗ trợ Kinh doanh
ABS,HSX,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,Hóa chất
ABT,HSX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Sản xuất thực phẩm
ABW,UPCOM,Công ty Cổ phần Chứng khoán An Bình,Dịch vụ tài chính
ACB,HSX,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng
ACC,HSX,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Xây dựng và Vật liệu
ACE,UPCOM,Công ty Cổ phần Bê tông ly tâm An Giang,Xây dựng và Vật liệu
ACG,HSX,Công ty Cổ phần Gỗ An Cường,Lâm nghiệp và Giấy
ACL,HSX,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Sản xuất thực phẩm
ACM,UPCOM,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường,Khai khoáng
ACS,UPCOM,Công ty Cổ phần Xây lắp Thương mại 2,Xây dựng và Vật liệu
ACV,UPCOM,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Vận tải
ADC,HNX,Công ty Cổ phần Mĩ thuật và Truyền thông,Truyền thông
ADG,HSX,Công ty Cổ phần Clever Group,Truyền thông
ADP,HSX,Công ty Cổ phần Sơn Á Đông,Xây dựng và Vật liệu
ADS,HSX,Công ty Cổ phần DAMSAN,Hàng cá nhân
AFX,UPCOM,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,Phân phối thực phẩm & dược phẩm
AG1,UPCOM,Công ty Cổ phần 28.1,Hàng cá nhân
AGF,UPCOM,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,Sản xuất thực phẩm
AGG,HSX,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản
AGM,HSX,Công ty Cổ phần Xuất nhập khẩu An Giang,Sản xuất thực phẩm
AGP,UPCOM,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Dược phẩm
AGR,HSX,Công ty Cổ phần Chứng khoán AGRIBANK,Dịch vụ tài chính
AGX,UPCOM,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Phân phối thực phẩm & dược phẩm
AIC,UPCOM,Tổng Công ty Cổ phần Bảo hiểm Hàng không,Bảo hiểm phi nhân thọ
AIG,UPCOM,Công ty Cổ phần Nguyên liệu Á Châu AIG,Sản xuất thực phẩm
ALT,HNX,Công ty Cổ phần Văn hóa Tân Bình,Truyền thông
ALV,UPCOM,Công ty Cổ phần Xây dựng ALVICO,Xây dựng và Vật liệu
AMC,HNX,Công ty Cổ phần Khoáng sản Á Châu,Khai khoáng
AMD,UPCOM,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,Bất động sản
AME,HNX,Công ty cổ phần Alphanam E&C,Điện tử & Thiết bị điện
AMP,UPCOM,Công ty Cổ phần Armephaco,Dược phẩm
AMS,UPCOM,Công ty Cổ phần Cơ khí Xây dựng AMECC,Tư vấn & Hỗ trợ Kinh doanh
AMV,HNX,Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Thiết bị và Dịch vụ Y tế
ANT,UPCOM,Công ty Cổ phần Rau quả Thực phẩm An Giang,Sản xuất thực phẩm
ANV,HSX,Công ty Cổ phần Nam Việt,Sản xuất thực phẩm
APC,UPCOM,Công ty Cổ phần Chiếu xạ An Phú,Dược phẩm
APF,UPCOM,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi,Sản xuất thực phẩm
APG,HSX,Công ty Cổ phần Chứng khoán APG,Dịch vụ tài chính
APH,HSX,Công ty Cổ phần Tập đoàn An Phát Holdings,Hàng công nghiệp
API,HNX,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Bất động sản
APL,UPCOM,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,Công nghiệp nặng
APP,UPCOM,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ,Hóa chất
APS,HNX,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Dịch vụ tài chính
APT,UPCOM,Công ty Cổ phần Kinh doanh thủy hải sản Sài Gòn,Sản xuất thực phẩm
ARM,HNX,Công ty Cổ phần Xuất nhập khẩu Hàng không,Tư vấn & Hỗ trợ Kinh doanh
ART,UPCOM,Công ty Cổ phần Chứng khoán BOS,Dịch vụ tài chính
ASA,UPCOM,Công ty Cổ phần ASA,Hàng cá nhân
ASG,HSX,Công ty Cổ phần Tập đoàn ASG,Vận tải
ASM,HSX,Công ty Cổ phần Tập đoàn Sao Mai,Sản xuất thực phẩm
ASP,HSX,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Nước & Khí đốt
AST,HSX,Công ty Cổ phần Dịch vụ Hàng không Taseco,Bán lẻ
ATA,UPCOM,Công ty Cổ phần NTACO,Sản xuất thực phẩm
ATB,UPCOM,Công ty Cổ phần An Thịnh,Xây dựng và Vật liệu
ATG,UPCOM,Công ty Cổ phần An Trường An,Khai khoáng
ATS,HNX,Công ty Cổ phần Tập đoàn Đầu tư ATS,Du lịch & Giải trí
AVC,UPCOM,Công ty Cổ phần Thủy điện A Vương,Sản xuất & Phân phối Điện
AVF,UPCOM,Công ty Cổ phần Việt An,Sản xuất thực phẩm
AVG,UPCOM,Công ty Cổ phần Phân Bón Quốc Tế Âu Việt,Hóa chất
BAB,HNX,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng
BAF,HSX,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Sản xuất thực phẩm
BAL,UPCOM,Công ty Cổ phần Bao bì Bia - Rượu - Nước giải khát,Hàng công nghiệp
BAX,HNX,Công ty Cổ phần Thống Nhất,Xây dựng và Vật liệu
BBC,HSX,Công ty Cổ phần Bibica,Sản xuất thực phẩm
BBH,UPCOM,Công ty Cổ phần Bao bì Hoàng Thạch,Hàng công nghiệp
BBM,UPCOM,Công ty Cổ phần Bia Hà Nội - Nam Định,Bia và đồ uống
BBS,HNX,Công ty Cổ phần VICEM Bao bì Bút Sơn,Hàng công nghiệp
BBT,UPCOM,Công ty Cổ phần Bông Bạch Tuyết,Hàng cá nhân
BCA,UPCOM,Công ty cổ phần B.C.H,Kim loại
BCB,UPCOM,Công ty Cổ phần 397,Khai khoáng
BCC,HNX,Công ty Cổ phần Xi măng Bỉm Sơn,Xây dựng và Vật liệu
BCE,HSX,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Xây dựng và Vật liệu
BCF,HNX,Công ty Cổ phần Thực phẩm Bích Chi,Sản xuất thực phẩm
BCG,HSX,Công ty Cổ phần Tập đoàn Bamboo Capital,Dịch vụ tài chính
BCM,HSX,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản
BCP,UPCOM,Công ty Cổ phần Dược Enlie,Dược phẩm
BCR,UPCOM,Công ty Cổ phần BCG Land,Xây dựng và Vật liệu
BCV,UPCOM,Công ty Cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Du lịch & Giải trí
BDB,HNX,Công ty Cổ phần Sách và Thiết bị Bình Định,Truyền thông
BDG,UPCOM,Công ty Cổ phần May mặc Bình Dương,Hàng cá nhân
BDT,UPCOM,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,Xây dựng và Vật liệu
BDW,UPCOM,Công ty Cổ phần Cấp thoát nước Bình Định,Nước & Khí đốt
BED,HNX,Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng,Truyền thông
BEL,UPCOM,Công ty Cổ phần Điện tử Biên Hòa,Hàng hóa giải trí
BFC,HSX,Công ty Cổ phần Phân bón Bình Điền,Hóa chất
BGE,UPCOM,Công ty Cổ phần BCG Energy,Sản xuất & Phân phối Điện
BGW,UPCOM,Công ty Cổ phần Nước sạch Bắc Giang,Nước & Khí đốt
BHA,UPCOM,Công ty Cổ phần Thủy điện Bắc Hà,Sản xuất & Phân phối Điện
BHC,UPCOM,Công ty Cổ phần Bê tông Biên Hòa,Xây dựng và Vật liệu
BHG,UPCOM,Công ty Cổ phần Chè Biển Hồ,Bia và đồ uống
BHI,UPCOM,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm phi nhân thọ
BHK,UPCOM,Công ty Cổ phần Bia Hà Nội - Kim Bài,Bia và đồ uống
BHN,HSX,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,Bia và đồ uống
BHP,UPCOM,Công ty Cổ phần Bia Hà Nội - Hải Phòng,Bia và đồ uống
BIC,HSX,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm phi nhân thọ
BID,HSX,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng
BIG,UPCOM,Công ty cổ phần BIG Invest Group,Bất động sản
